liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
Rétro;17718;"Les Trésors des Cités Perdues";;1995;basegame;3254775866096;17,5;"2 — 6";40;9+;français;;;"Jeu de plateau";Archéologie;"Chance & Hasard";Nathan;"Dominique Tellier";"Henri Fellner,Marc Lacaze"
Rétro;15589;Globetrotter;;1986;basegame;;0;"2 — 8";90;12+;français;;;"Jeu de plateau";;;Schmidt;"Dr Ken Evoy";
Rétro;26154;Diplomacy;;1978;basegame;;0;"2 — 7";240;12+;français;;Diplomacy;"Jeu de plateau";Guerre;Conquête,Négociation;"Parker Brothers";"Allan B. Calhammer";
Enfance;63110;"My first Triominos";;2006;basegame;8711808006249;0;"1 — 4";20;4+;français;;Triominos;"Jeu de pions";Abstrait,Chiffres;Combinaison;;;
Rétro;63110;"My first Triominos";;2006;basegame;8711808006249;0;"1 — 4";20;4+;français;;Triominos;"Jeu de pions";Abstrait,Chiffres;Combinaison;;;
Rétro;17937;"Le Casse du Siècle";;1992;basegame;;0;"2 — 7";20;10+;français;;"Le Casse du Siècle";"Jeu de plateau";Voleur;;"Parker Brothers";;
Rétro;17397;"La Conquête du Pétrole";;1973;basegame;;0;"2 — 6";60;10+;français;;;"Jeu de plateau";Mines;"Chance & Hasard,Commerce,Parcours";Nathan;;
"Ludique Educatif";38053;"Mon atelier lecture";;2008;basegame;4005556242481;0;"1 — 4";15;5+;français;;;"Jeu de lettres";;;Ravensburger;;
Extérieur;62783;"Attrapez les queues";;2019;basegame;8717775443018;28,9;"2 — 6";10;3+;français,anglais,allemand,espagnol,italien,néerlandais;;;"Jeu D'Adresse";Abstrait;"Adresse & Dextérité,Collection,Rapidité";"Bs Toys";;
Extérieur;42057;Moves!;;2003;basegame;8717775442646;14,99;"2 — 12";"15 — 30";"6 — 12";français,anglais;;;"Jeu D'Éveil";;Mémorisation;"Bs Toys";;
Extérieur;19046;"Original Mölkky";;2011;basegame;;38;"2 — 10";30;6+;français;;Mölkky;"Jeu D'Adresse,Jeu De Plein Air";Abstrait,Sports;"Adresse & Dextérité,Affrontement Direct,Prise de risque";Tactic;;
Extérieur;56724;"Jeu De Quilles Finlandaises En Mousse";;2020;basegame;3517130007719;25,4;2+;30;3+;français;;Mölkky;"Jeu D'Adresse";Sports;"Adresse & Dextérité";Tatamiz;;
"Escape game";36228;"Escape Puzzle - Sous l'eau";;2018;basegame;4005556199594;14,9;"1 — 4";60+;12+;français,anglais,allemand,espagnol;;"Escape Puzzle";Puzzle;Animaux,Maritime;Logique,Observation,Puzzle,Réflexion;Ravensburger;;
